ENGLISH,GERMAN
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Kann Trupps anführen: Nein\\PARStufe: 3\\PAREinheitentyp: Drache\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Feuer-Drachenatemangriffe aus Entfernung 1\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG.
Class: Blue Dragon Rider,Klasse: Drachenreiter (blau)
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Kann Trupps anführen: Ja\\PARStufe: 4\\PAREinheitentyp: Drache\\PARBewegung: Fliegend\\PARErforderliche Ressourcen: 2 Edelsteine, 2 Obsidian\\PARKampfaktionen: 2 Blitz-Drachenatemangriffe aus Entfernung 1\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG."
Class: Silver Dragon Rider,Klasse: Drachenreiter (silber)
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Kann Trupps anführen: Ja\\PARStufe: 4\\PAREinheitentyp: Drache\\PARBewegung: Fliegend\\PARErforderliche Ressourcen: 2 Edelsteine, 2 Obsidian\\PARKampfaktionen: 2 Eis-Drachenatemangriffe aus Entfernung 1\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG."
Class: Red Dragon Rider,Klasse: Drachenreiter (rot)
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Kann Trupps anführen: Ja\\PARStufe: 4\\PAREinheitentyp: Drache\\PARBewegung: Fliegend\\PARErforderliche Ressourcen: 2 Edelsteine, 2 Obsidian\\PARKampfaktionen: 2 Feuer-Drachenatemangriffe aus Entfernung 1\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG."
Class: Captain,Klasse: Hauptmann
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains,Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Erhält eine geringe Menge FÜH für alle FÜH-Gewinne der Armee.
Class: Lord,Klasse: Generalmajor
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 1 MAG-based Area effect attack, and 1 Slashing attack at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains",Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 1 MAG-basierter Flächenangriff und 1 Schlitzangriff aus Entfernung 1\\Besonderes: Erhält eine geringe Menge FÜH für alle FÜH-Gewinne der Armee.
Class: Blademaster,Klasse: Klingenmeisterin
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required:\\PARBattle Actions: 2 Slashing double-attacks at 1 range OR 1 archery attack at 2 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Leichte Infanterie\\PARBewegung: Leicht\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Doppel-Schlitzangriffe aus Entfernung 1 ODER 1 Bogenangriff aus Entfernung 2\\PARBesonderes: Ausweichen in Wäldern, Städten, Hügeln und Sümpfen erhöht."
Class: Exemplar,Klasse: Glaubensritter
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Striking, wide-sweeping at 1 range that strike an entire row\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Infanterie\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 fegende Hiebe aus Entfernung 1, die eine ganze Reihe treffen\\PARBesonderes: Resistenz gegen Magie und Drachenatem in Höhe von 25 % des eigenen Rüstungswerts."
Class: General,Klasse: General
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Cavalry\\PARResources Required:\\PARBattle Actions: 1 moderate heal that affects the entire Squad\\PARSpecial:,"Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Unterstützung\\PARBewegung: Kavallerie\\PARErforderliche Ressourcen: \\PARKampfaktionen: 1 x mittlere Heilung, die auf den gesamten Trupp gewirkt wird\\PARBesonderes:"
Class: Mirage,Klasse: Trugbild
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 3 Stealth Attacks at 1 range\\PARSpecial:,Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Leichte Infanterie\\PARBewegung: Leicht\\PARErforderliche Ressourcen: \\PARKampfaktionen: 3 Schleichangriffe aus Entfernung 1\\PARBesonderes:
Class: Arbalest,Klasse: Arbaleste
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR -25% damage taken from ranged attacks","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Bogenschützen\\PARBewegung: Normal\\PARErforderliche Ressourcen: 3 Eisen\\PARKampfaktionen: 2 Bogenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2\\PARBesonderes: Angriffe ignorieren 25 % der Rüstung und der Schaden basiert auf der Waffenkraft, nicht der STÄ. -25 % erlittener Schaden von Fernangriffen."
Class: War Cat,Klasse: Kriegskatze
"Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls",Kann Trupps anführen: Nein\\PARStufe: 2\\PAREinheitentyp: Tier\\PARBewegung: Leicht\\PARErforderliche Ressourcen: \\PARKampfaktionen: 1 weitreichende Schlitzangriffe aus Entfernung 1\\PARBesonderes: Angriffe fügen Einheiten innerhalb von 1 Feld um das Ziel in derselben Reihe Sekundärschaden zu. Kann über Mauern angreifen.
Class: Behemoth,Klasse: Behemoth
"Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls",Kann Trupps anführen: Nein\\PARStufe: 3\\PAREinheitentyp: Tier\\PARBewegung: Leicht\\PARErforderliche Ressourcen: \\PARKampfaktionen: 1 weitreichende Schlitzangriffe aus Entfernung 1\\PARBesonderes: Angriffe fügen Einheiten innerhalb von 1 Feld um das Ziel in derselben Reihe Sekundärschaden zu. Kann über Mauern angreifen.
Class: Necromancer,Klasse: Nekromant
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Mark of the Risen' Item\\PARBattle Actions: 1 Lifestealing dark magic attack\\PARSpecial: Presence increases accumulation of Unlife Essence, overhealing self via lifesteal can potentially heal allies",Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Zauberwirker\\PARBewegung: Langsam\\PARErforderliche Ressourcen: Zeichen der Erweckten einsetzen\\PARKampfaktionen: 1 lebensraubender Schattenmagie-Angriff\\PARBesonderes: Anwesenheit erhöht Ansammeln von Essenz des Jenseits. Heilung über das Maximum via Lebensraub heilt manchmal Verbündete.
Class: Risen Spearman,Klasse: Erweckter Speerkämpfer
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Untoter\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 durchbohrende Stangenwaffenangriffe aus Entfernung 1\\PARBesonderes: Kann nicht heilen. Sammelt langsam Essenz des Jenseits an. Kann bis zu 3 Lakaien pro Einheit stapeln.
Class: Risen Soldier,Klasse: Erweckter Soldat
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Untoter\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Kann nicht heilen. Sammelt langsam Essenz des Jenseits an. Kann bis zu 3 Lakaien pro Einheit stapeln.
Class: Risen Swordsman,Klasse: Erweckter Schwertkämpfer
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Untoter\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Kann nicht heilen. Sammelt langsam Essenz des Jenseits an. Kann bis zu 3 Lakaien pro Einheit stapeln.
Class: Risen Archer,Klasse: Erweckter Scharfschütze
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions:  2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Untoter\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Bogenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2\\PARBesonderes: Kann nicht heilen. Sammelt langsam Essenz des Jenseits an. Kann bis zu 3 Lakaien pro Einheit stapeln.
Class: Risen Warrior,Klasse: Erweckter Krieger
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Untoter\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Kann nicht heilen. Sammelt langsam Essenz des Jenseits an. Kann bis zu 3 Lakaien pro Einheit stapeln.
Class: Risen Knight,Klasse: Erweckter Ritter
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence",Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Untoter\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Kann nicht heilen. Sammelt langsam Essenz des Jenseits an.
Class: Risen Archmage,Klasse: Erweckter Erzmagier
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence",Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Untoter\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 1 fegender Feuermagieangriff aus Entfernung 1\\PARBesonderes: Kann nicht heilen. Sammelt langsam Essenz des Jenseits an.
Class: Queen of Dragons,Klasse: Drachenkönigin
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range, full squad heal available as needed\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",Kann Trupps anführen: Ja\\PARStufe: 4\\PAREinheitentyp: Drache\\PARBewegung: Fliegend\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Eis-Drachenatemangriffe aus Entfernung 1. Kann bei Bedarf gesamten Trupp heilen.\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG.
Class: Oracle,Klasse: Orakel
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 1 shield granted to entire squad\\PARSpecial:","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Unterstützung\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 1 Sonnenstein, 1 Edelstein\\PARKampfaktionen: 1 Schild, der dem gesamten Trupp gewährt wird\\PARBesonderes:"
Class: Field Cannon,Klasse: Feldkanone
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Horse\\PARResources Required: 2 Iron, 2 Pyrocite, 2 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Feuerwaffen\\PARBewegung: Pferd\\PARErforderliche Ressourcen: 2 Eisen, 2 Pyrozit, 2 Pferde\\PARKampfaktionen: In der Offensive 1 explosiver Kanonenangriff aus Entfernung 1, 2 oder 3\\PARBesonderes: Verursacht Sekundärschaden auf umliegenden Feldern. Angriffe ignorieren 75 % der Rüstung und der Schaden basiert auf der Waffenkraft, nicht der STÄ. Kann nicht kontern."
Class: Dark Mage,Klasse: Schattenmagier
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Defiled Donari Tome' Item\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to supress healing on targets hit,"Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Zauberwirker\\PARBewegung: Langsam\\PARErforderliche Ressourcen: Entweihten Donari-Folianten einsetzen\\PARKampfaktionen: 1 explosiver Schattenmagieangriff aus Entfernung 1\\PARBesonderes: Verursacht in einem großen, rautenförmigen Bereich um das Ziel Sekundärschaden. Chance, bei getroffenen Zielen Heilung zu verhindern."
Undead units and Unlife Essence,Untote Einheiten und Essenz des Jenseits
"Risen units are considered Undead.  Risen cannot be healed by conventional means, or revived at a temple. All Risen accumulate a resource called Unlife Essence, which is displayed visually in battle under the Morale bar. When the Unlife Essence bar is full, a new Risen unit will be summoned into your squad. Unlife Essence accumulates slowly by dealing damage, and quickly by killing enemies. Surrender does not accumulate any Unlife Essence. The presence of a Necromancer greatly increases the accumulation of Unlife Essence. At the beginning of player phase, Risen you start the mission with will automatically regenerate to one stack if killed. Necromancers will summon one Risen stack if there are fewer Risen than Necromancers at the start of Player Phase.","Erweckte Einheiten werden als Untote erachtet. Erweckte können weder mit konventionellen Mitteln geheilt noch an Tempeln wiederbelebt werden. Alle Erweckte sammeln eine Ressource an, die sich Essenz des Jenseits nennt. Sie wird im Kampf unter der Leiste für die Moral angezeigt. Ist diese Leiste voll, wird eine neue erweckte Einheit in deinen Trupp beordert. Essenz des Jenseits sammelt sich langsam an, wenn du Schaden austeilst, und schnell, wenn du Gegner tötest. Eine Kapitulation lässt keine Essenz des Jenseits ansammeln. Die Anwesenheit eines Nekromanten erhöht das Ansammeln von Essenz des Jenseits erheblich. Zu Beginn der Spielerphase werden Erweckte, mit denen du die Mission beginnst, automatisch auf einen Stapel erneuert, falls sie getötet wurden. Nekromanten beordern einen Stapel Erweckte, falls die Anzahl an Nekromanten jene der Erweckten zu Beginn der Spielerphase übersteigt."
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Defiled Donari Tome' Item\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Lowers effectiveness of heals, Mage and Dragon attacks.","Kann ein Truppanführer sein: Ja\\PARStufe: 3\\\PAREinheitstyp: Zauberwirker\\\PARBewegungstyp: Langsam\\PARRessourcen erforderlich: Benutze den Gegenstand „Entweihter Donari-Foliant“\\PARKampf-Aktionen: 1 Explosive Dunkle Magie greift auf Reichweite 1 an\\PARSpezial: Verursacht Flächenschaden in einem großen rautenförmigen Bereich um das Ziel herum. Verringert die Wirksamkeit von Heilung, Magier- und Drachenangriffen."
"Can be a Squad Leader: No\PARTier: 3\PARUnit Type: Beast\PARMovement Type: Light\PARResources Required: \PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls. Bypasses cover when attacking from a high ground advantage",Kann Trupps anführen: Nein\PARStufe: 3\PAREinheitentyp: Tier\PARBewegung: Leicht\PARErforderliche Ressourcen: \PARKampfaktionen: 1 weitreichende Schlitzangriffe aus Entfernung 1\PARBesonderes: Angriffe fügen Einheiten innerhalb von 1 Feld um das Ziel in derselben Reihe Sekundärschaden zu. Kann über Mauern angreifen. Umgeht die Deckung bei Angriff aus einem hohen Bodenvorteil heraus.
