ENGLISH,PORTUGUÊS (BRASIL)
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Mark of the Risen' Item\\PARBattle Actions: 1 Lifestealing dark magic attack\\PARSpecial: Presence increases accumulation of Unlife Essence, overhealing self via lifesteal can potentially heal allies",Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Feiticeiro\\PARTipo de movimento: Lento\\PARRecursos necessários: Usar ‘Marca dos Ressuscitados’\\PARAções de batalha: 1 Ataque sombrio de absorção de vida\\PAREspecial: A presença aumenta o acúmulo de Essência de inexistência; curar-se excessivamente com absorção de vida potencialmente pode curar aliados
Class: Risen Spearman,Classe: Lanceiro ressuscitado
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Morto-vivo\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques com arma de haste perfurante a 1 espaço de distância\\PAREspecial: Não pode se curar; acumula lentamente Essência de inexistência; pode formar até 3 lacaios por unidade
Class: Risen Soldier,Classe: Soldado ressuscitado
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Morto-vivo\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques cortantes a 1 espaço de distância\\PAREspecial: Não pode se curar; acumula lentamente Essência de inexistência; pode formar até 3 lacaios por unidade
Class: Risen Swordsman,Classe: Espadachim ressuscitado
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Morto-vivo\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques cortantes a 1 espaço de distância\\PAREspecial: Não pode se curar; acumula lentamente Essência de inexistência; pode formar até 3 lacaios por unidade
Class: Risen Archer,Classe: Arqueiro ressuscitado
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions:  2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Morto-vivo\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de arco a 1 espaço de distância ou 1 ataque de arco certeiro a 2 espaços\\PAREspecial: Não pode se curar; acumula lentamente Essência de inexistência; pode formar até 3 lacaios por unidade
Class: Risen Warrior,Classe: Guerreiro ressuscitado
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Morto-vivo\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques cortantes a 1 espaço de distância\\PAREspecial: Não pode se curar; acumula lentamente Essência de inexistência; pode formar até 3 lacaios por unidade
Class: Risen Knight,Classe: Cavaleiro ressuscitado
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence",Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Morto-vivo\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques cortantes a 1 espaço de distância\\PAREspecial: Não pode se curar; acumula lentamente Essência de inexistência
Class: Risen Archmage,Classe: Arquimago ressuscitado
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence",Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Morto-vivo\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 1 ataque de fogo de área a 1 espaço de distância\\PAREspecial: Não pode se curar; acumula lentamente Essência de inexistência
Class: Queen of Dragons,Classe: Rainha dos Dragões
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range, full squad heal available as needed\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",Pode ser líder do esquadrão: Sim\\PARNível: 4\\PARTipo de unidade: Dragão\\PARTipo de movimento: Voador\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de sopro de dragão de gelo a 1 espaço de distância; cura completa do esquadrão disponível conforme necessário\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente.
Class: Oracle,Classe: Oráculo
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 1 shield granted to entire squad\\PARSpecial:","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Apoio\\PARTipo de movimento: Lento\\PARRecursos necessários: 1 pedra do sol, 1 gema\\PARAções de batalha: 1 escudo concedido a todo o esquadrão\\PAREspecial: -"
Class: Field Cannon,Classe: Canhão de campo
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Horse\\PARResources Required: 2 Iron, 2 Pyrocite, 2 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Armas de fogo\\PARTipo de movimento: Cavalaria\\PARRecursos necessários: 2 de ferro, 2 pirocitas, 2 cavalos\\PARAções de batalha: No ataque, 1 ataque de canhão explosivo a 1, 2 ou 3 espaços\\PAREspecial: Causa dano de rebote aos espaços ao redor. Ataques ignoram 75% da armadura, dano derivado do poder da arma, não de FOR. Não é possível contra-atacar."
Class: Dark Mage,Classe: Mago sombrio
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Defiled Donari Tome' Item\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to supress healing on targets hit,Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Mago\\PARTipo de movimento: Lento\\PARRecursos necessários: Usar o item “Tomo donari profanado”\\PARAções de batalha: 1 ataque explosivo de magia das trevas a 1 espaço de distância\\PAREspecial: Causa dano de rebote a uma grande área em formato losangular ao redor do alvo. Chance de suprimir cura ao atingir o alvo
Undead units and Unlife Essence,Mortos-vivos e Essência de inexistência
"Risen units are considered Undead.  Risen cannot be healed by conventional means, or revived at a temple. All Risen accumulate a resource called Unlife Essence, which is displayed visually in battle under the Morale bar. When the Unlife Essence bar is full, a new Risen unit will be summoned into your squad. Unlife Essence accumulates slowly by dealing damage, and quickly by killing enemies. Surrender does not accumulate any Unlife Essence. The presence of a Necromancer greatly increases the accumulation of Unlife Essence. At the beginning of player phase, Risen you start the mission with will automatically regenerate to one stack if killed. Necromancers will summon one Risen stack if there are fewer Risen than Necromancers at the start of Player Phase.","Unidades ressuscitadas são consideradas mortos-vivos. Ressuscitados não podem ser curados por meios convencionais ou revividos em um templo. Todos os Ressuscitados acumulam um recurso chamado Essência de inexistência, que é mostrada visualmente em batalha sob a barra de Moral. Quando a barra de Essência de inexistência está cheia, uma nova unidade ressuscitada pode ser evocada para o seu esquadrão. A essência de inexistência acumula lentamente ao causar danos e rapidamente ao matar inimigos. Render-se não acumula essência. A presença de um Necromante aumenta consideravelmente o acúmulo de Essência de inexistência. No início de cada turno do jogador, os Ressuscitados com os quais você inicia a missão serão automaticamente regenerados para um grupo se forem mortos. Necromantes evocarão um grupo de Ressuscitados se houverem menos Ressuscitados que Necromantes no início do turno do jogador."
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Defiled Donari Tome' Item\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Lowers effectiveness of heals, Mage and Dragon attacks.",Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Mago\\PARTipo de movimento: Lento\\PARRecursos necessários: Usar o item “Tomo donari profanado”\\PARAções de batalha: 1 ataque explosivo de magia das trevas a 1 espaço de distância\\PAREspecial: Causa dano de rebote a uma grande área em formato losangular ao redor do alvo. Reduz a eficácia de curas e ataques de Magos e Dragões.
"Can be a Squad Leader: No\PARTier: 3\PARUnit Type: Beast\PARMovement Type: Light\PARResources Required: \PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls. Bypasses cover when attacking from a high ground advantage",Pode ser líder do esquadrão: Não\\PARNível: 3\\PARTipo de unidade: Besta\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques amplos de corte a 1 espaço\\PAREspecial: O ataque causa dano de rebote a 1 espaço adjacente ao alvo na mesma fileira; pode atacar por muralhas. Desvios cobrem ao atacar de um ponto de vantagem em solo alto
