of Merit!,за заслугу!,
NO,НЕТ,
SURRENDER,Сдача,
Exchange,Обмен,
Unlocked!,Разблокировано!,
"All squads on all teams within 3 tiles,",Все отряды любой стороны в радиусе 3 клеток,
take 15% more damage,получают на 15% больше урона,
UPGRADES TO:,Улучшается до:,
Starring...,В создании участвовали...,
Original Soundtrack by:,Оригинальный саундтрек:,
Voices by:,Озвучка:,
Additional Art by:,Дополнительная анимация и изображения:,
Additional Contributions,Также участвовали,
Special Thanks,Особая благодарность,
I mean this from the bottom of my heart.,От всего сердца.,
Thank you for playing.,"Спасибо, вам, игрокам.",
"If you are reading this, you have impacted our","Если вы это читаете, это значит,",
lives in a very special way. I hope you'll,что вы помогли в создании мечты.,
continue with our journey to bring our,"Пожалуйста, и дальше участвуйте в том,",
dreams to life.,чтобы воплощать наши мечты в жизнь.,
In loving memory,Светлая память,
Moves 6 tiles base,Базовое движение: на 6 клеток,
"Archetypes: Heavy Infantry, Archery, Firearms","Архетипы: Тяжёлая пехота, лучники, огнестрельные юниты",
Moves 5 tiles base,Базовое движение: на 5 клеток,
"Archetypes: Support, Magicians","Архетипы: Поддержка, Маги",
Movement Bonus Indoors,Бонус к движению в помещении,
Unimpeded by rough terrain,Движется без препятствий по пересечённой местности,
Archetypes: Light Infantry,Архетипы: Лёгкая пехота,
Moves 7 tiles base,Базовое движение: на 7 клеток,
Movement Bonus in Open Terrain,Бонус к движению на открытой местности,
Can Initiate Charge Attacks/Ambush,Может атаковать с разбега и устраивать засады,
Archetypes: Light Cavalry,Архетипы: Лёгкая кавалерия,
Can Initiate Charge Attacks,Может атаковать с разбега,
Archetypes: Heavy Cavalry,Архетипы: Тяжёлая кавалерия,
Unimpeded by all terrain,Движется без препятствий по любой местности,
Immune to Hazard Damage,Игнорирует урон от опасностей,
Archetypes: Dragon Riders,Архетипы: всадники на драконах,
OBJECTIVE CAPTURED!,Цель захвачена!,
Player Phase,Стадия игрока,
Enemy Phase,Стадия врага,
Ally Phase,Стадия союзников,
Empire of Veridia,Империя Веридия,
Donari Temple,Храм Донари,
Followers of Zanatus,Последователи Занатуса,
Diana's Rebellion,Мятежники Дианы,
Nephilim Army,Армия нефилимов,
Duchy of Isanter,Герцогство Изантер,
Lysander,Лисандер,
Antares Rebellion,Мятежники Антареса,
Tidereaver Pirates,Пираты Тайдривера,
Duchy of Rimorgue,Герцогство Риморг,
Empire of Archaelus,Империя Архаилус,
Kingdom of Sayunaa,Королевство Саюна,
"Basic Light Infantry. Can Ambush, and gets a significant SKL bonus while fighting in Rough terrain.","Базовая лёгкая пехота. Может устраивать засады и получает значительный бонус к НВК, когда сражается на пересечённой местности.",
Acolyte,Аколит,
Challenge this arena?,Бросить вызов этой арене?,
"bonus from Walls, Forts, and Bases","бонус стен, фортов и баз",
Dark Knight,Тёмный рыцарь,
General,Генерал,
Azure King,Лазурный король,
Lord,Лорд,
Archmage,Архимаг,
Mirage,Мираж,
Lead Design,Ведущий дизайнер,
Lead Engineer,Ведущий инженер,
Lead Artists,Ведущий художник,
Antares arrives at Armitage,Антарес прибудет в Армитаж,
Antares is defeated in battle,Антарес падёт в бою,
Survive for 20 turns,Продержитесь 20 ходов,
OR Seize Ezrum,ИЛИ захватите Эзрум,
Antares is defeated in battle OR,Антарес падёт в бою ИЛИ,
Fort Eureeka is seized by the enemy OR,Враг захватит форт Эврика ИЛИ,
Stormrook is seized by the enemy,Враг захватит Штормрук,
Raskuja reaches the Treasure Vault,Раскуджа доберётся до сокровища,
Raskuja is defeated in battle,Раскуджа падёт в бою,
Defeat all enemies,Все враги падут,
Jaromir is defeated in battle,Яромир падёт в бою,
Destroy all invading undead,Разгромите всех атакующих юнитов-нежить,
Jaromir is defeated in battle OR,Яромир падёт в бою ИЛИ,
Enemy seizes Embor Palace,Враг захватит эмборский дворец,
Beatrix reaches the Helios Master Archive,Беатрикс доберётся до центрального архива «Гелиос»,
Beatrix is defeated in battle,Беатрикс падёт в бою,
Razehl escapes prison,Разел сбежит из тюрьмы,
Razehl is defeated in battle,Разел падёт в бою,
Rescue all 3 Dragon Eggs,Спасите 3 драконьих яйца,
\\N[8] is defeated in battle OR,\\N[8] падёт в бою ИЛИ,
Enemy seizes Fort Sairaa,Враг захватит форт Саира,
Increases lowest stat growth rate by %50,На 50% ускоряет рост самой низкой характеристики,
Maverick,Вольнодумец,
Wide Guard,Широкая защита,
Cover and Block extend an extra half tile in each direction,Прикрытие и Блок действуют на полклетки дальше во всех направлениях,
Pacifist,Пацифист,
Unit both takes and deals -25% damage,Юнит получает и наносит –25% урона,
Barricade,Баррикада,
Other Units in same row have increased defense power,Повышает защиту других юнитов в том же ряду,
Rally,Сбор,
Other Units in same row have increased attack power,Повышает атаку других юнитов в том же ряду,
Liberator,Освободитель,
Gain an extra turn after Seize Objective,Получает дополнительный ход при захвате,
Benevolent,Великодушие,
#NAME?,Имя,
Switches to classic style portraits.,Включает потреты в классическом стиле.,
Uses a bitmap font for better readability on high res screens.,Меняет на растровый шрифт для лучшего отображения в высоком разрешении.,
Arbalest,Стреломёт,
Archery class that fires 3x slightly weaker bolts and resists enemy ranged attacks.,"Класс: лучники. Стреляет 3 болтами, каждый из которых несколько слабее, и отражает дальнобойные атаки врагов.",
War Cat,Боевой кот,
Light Infantry Large Beast that attacks in a wide arc. Increased Critical chance during Night.,"Лёгкая пехота. Крупное животное, атакует размашистыми ударами. Ночью выше шанс нанести крит. удар.",
Behemoth,Левиафан,
Upgrade to War Cat that gains the ability to bypass blocking when attacking from high ground to lower ground.,"При улучшении до боевого кота игнорирует блоки при атаке с возвышенностей врагов, находящихся ниже.",
Necromancer,Некромант,
Magician that steals life to heal themselves and allies. Summons Risen. Greatly increases Unlife Essence accumulation.,"Магический юнит, высасывает жизнь и лечит себя и союзников. Призывает восставших юнитов. Сильно ускоряет накопление Эссенции Нежизни.",
Oracle,Оракул,
Support class that casts a shield on all allies at the start of battle.,Юнит поддержки. В начале боя заклинанием закрывает щитом всех союзников.,
Field Cannon,Полевая пушка,
Firearms. Can only attack on offense. Attacks from up to 3 tiles away. Cavalry movement type.,Огнестрельный юнит. Атакует только в нападении. Дальность атаки: до 3 клеток. Движется как кавалерия.,
Dark Mage,Тёмный маг,
Magician class that attacks in a large area. Has a chance to supress healing to targeted enemies.,Класс: маг. Атакует по большой площади. С некоторой вероятностью блокирует лечение выбранных врагов.,
Queen of Dragons,Королева драконов,
"Fusion of Abigayle and Azuros. Flying unit. Can heal allies, and use a powerful breath attack.",Совместный летающий юнит: Абигейл верхом на Азуросе. Может лечить союзников и атакует мощным дыханием дракона.,
Switches to classic style portraits.,Включает потреты в классическом стиле.,
Uses a bitmap font for better readability on high res screens.,Меняет на растровый шрифт для лучшего отображения в высоком разрешении.,
Attacks ignore 20% of Armor,Атаки игнорируют 20% брони,
Complete Main Story Chapter 4 to unlock!,"Завершите главу 4 основного сюжета, чтобы открыть!",
Complete Main Story Chapter 11 and Legends Chapter 1A to unlock!,"Завершите главу 11 основного сюжета и «Легенды», главу 1А, чтобы открыть!",
Complete Main Story Chapter 8 to unlock!,"Завершите главу 8 основного сюжета, чтобы открыть!",
Complete Main Story Chapter 9 to unlock!,"Завершите главу 9 основного сюжета, чтобы открыть!",
Complete Main Story Chapter 18 and Legends Chapter 3A to unlock!,"Завершите главу 11 основного сюжета и «Легенды», главу 3А, чтобы открыть!",
Complete Main Story Chapter 11 to unlock!,"Завершите главу 11 основного сюжета, чтобы открыть!",
Complete Main Story Chapter 6 to unlock!,"Завершите главу 6 основного сюжета, чтобы открыть!",
Complete Main Story Chapter 23 and Gaiden 20-B to unlock!,"Завершите главу 11 основного сюжета и «Гайден», главу 20-B, чтобы открыть!",
Strider,Бродяга,
Infiltrator,Лазутчик,
Scion of Donar,Наследник Донара,
Cleric,Клирик,
Savior,Спаситель,
Avatar of Donar,Аватар Донара,
Hero's Heavy Infantry class.,Класс: тяжёлая пехота главного героя.,
Hero's Light Stealth class.,Класс: лёгкий скрытный отряд главного героя.,
Hero's Healer class.,Класс: отряд целителей главного героя.,
Turns Taken,Сделано ходов,
Kills,Убито,
Surrenders,Взято в плен,
Defeats,Поражено,
Warfarer's Boots,Воинские сапоги,
Shuffle becomes a free action,Очки действия не тратятся на рокировку,
Duelist's Contract,Контракт дуэлянта,
All units on both teams get +1 attack at 1 range,Все войска с обеих сторон получают +1 к атаке с расстояния 1,
Do-It-Yourself Bandage,Бинт самоисцеления,
Map heals are a free action,Очки действия не тратятся на исцеление вне боя,
Emperor's Missive,Указ императора,
Tier 1 Units take 50% damage,Войска 1-го ранга получают 50% урона,
Donari Charm,Талисман Донари,
2 additional Map Heal charges,2 дополнительных заряда исцеления вне боя,
Commoner's Goblet,Кубок простолюдина,
Non-story squad leaders only,Только лидеры отрядов — не главные персонажи,
Can only be equipped on Squads not led by story characters,"Можно снарядить только на отряды, которые ведут не главные персонажи",
Tailored Great Helm,Изысканный большой шлем,
2 additional Armor per unit archetype in Squad,Дополнительно 2 ед. брони за каждый архетип юнитов в отряде,
Thorny Charm,Шипастый талисман,
Every Unit in Squad will resist 1 status effect per combat,Каждый юнит в отряде получает сопротивление одному статусному эффекту за бой,
Raid Captain,Капитан-налётчик,
-2 Capacity cost for Light Melee classes,Лёгкие юниты ближнего боя отнимают –2 от размера отряда,
"Magician class that attacks in a large area. Lowers effectiveness of heals, Mage and Dragon attacks.","Класс: маг. Атакует по большой площади. Ослабляет эффективность лечения, а также атаки магов и драконов.",
Bow Specialist,Специалист по лукам,
Increased damage to support/mages at range,Повышает урон юнитам поддержки и магам на расстоянии,
Armor Specialist,Специалист по броне,
Reduces all incoming damage to the squad while on defense,Снижает весь получаемый отрядом урон в защите,
Spear Specialist,Специалист по копьям,
Enitre squad takes less damage and deals more damage to cavalry units,Весь отряд получает меньше урна от кавалерии и наносит ей больше урона,
Anti-Magic Specialist,Специалист по защите от магии,
Healer Specialist,Специалист по лечению,
Squad recovers some HP at the beginning of player phase.,Отряд восстанавливает немного ОЗ в начале каждой стадии игрока.,
Assassin Specialist,Специалист по убийствам,
Squad gains increased Critical Hit chance while on offense,Повышает шанс крит. урона отряда в нападении,
Bombardment Specialist,Специалист по обстрелам,
Squad's long range attacks are much less random,Повышает точность атак отряда на расстоянии,
Raid Specialist,Специалист по налётам,
Entire squad gains a large boost to SKL while attacking from rough terrain,Весь отряд получает большой бонус к НАВ при атаке с пересечённой местности,
Rush Specialist,Специалист по спешности,
Entire squad gains a bonus to SKL based on how far they moved this turn,"Весь отряд получает бонус к НАВ, чем дальше движется за ход",
Charge Specialist,Специалист по разгону,
Entire squad gains a damage bonus if the squad is charging,Весь отряд получает бонус к урону при атаке с разгона,
Save Clear Data?,Точно удалить данные?,
Reduces Magic damage taken,Снижает получаемый урон от магии.,
Heavy Polearm Risen minion.,Восставший соратник с древковым оружием.,
Heavy Infantry Risen minion.,Восставший соратник-пехота.,
Skirmisher style Risen minion.,Восставший соратник-застрельщик.,
Archery Risen minion.,Восставший соратник-лучник.,
Champion style Risen minion.,Восставший соратник-герой.,
"Abigayle's ultimate form. Flying unit. Can heal allies, and use a powerful breath attack.",Высшая эволюция Абигейл. Летающий юнит. Может лечить союзников и атаковать мощным дыханием дракона.,
Allows and increases acquisition of Unlife,Открывает и ускоряет накопление Нежизни,
Jaromir - Ragavi: Donar's Mercy,Яромир — Рагави: Милость Донара,
Jaromir - Ragavi: Death before regret,Яромир — Рагави: Умру без сожалений,
Abigayle - Diana: Lost to time,Абигейл — Диана: Забыто временем,
"25 years in the past, the War of Veridian Succession is at its climax. Captain Antares takes point in a critical moment.","25 годами ранее, самый разгар Войны за веридийский престол. Капитан Антарес готов проявить себя в ответственный момент.",
"Florina's claim has been announced, causing a backlash. Captain Antares will again be called upon to bring peace and order to Veridia.","Стало известно, что Флорина претендует на престол, и реакции долго ждать не пришлось. Капитану Антаресу вновь придётся рискнуть всем, чтобы восстановить мир и порядок в Веридии.",
Explore Raskuja's mercenary origins as part of a squad of ship-raiders.,"Узнайте больше о прошлом Раскуджи, когда он состоял в банде и грабил корабли.",
The eastern extremes of Embor define the outer edge of the Empire of Veridia. Duke Jaromir finds himself in a position to be Veridia's Bulwark against a terrifying new foe.,Веридийская империя простирается на восток до самых рубежей Эмбора. Герцог Яромир вынужден защищать свой родной край и всю Веридию от новых ужасающих врагов.,
Duke Jaromir returns home to find that his battle with the undead menace is far from over.,"По возвращении домой герцог Яромир с грустью осознаёт, что его битва против полчищ нежити была лишь началом войны.",
"Explore the origins of the powerful mage, Beatrix, as she infiltrates a secret facility operated by the Cult of Zanatus.","Узнайте о прошлом могучей чародейки Беатрикс, когда она проникла в исследовательский центр Культа Занатуса.",
One does not simply become a master assassin for no reason. A Sayunaari prison complex holds the secrets to one man's destiny.,Лучший в мире убийца должен иметь соответствующее прошлое. И его судьба началась в тюремном комплексе саюнари.,
Azuros has warned of a dire situation in the deserts of Sayunaa. The Nephilim Army hears the call to find a powerful Imperial army waiting.,"Азурос предупредил, что в пустыне Саюна назревает серьёзная проблема. Армия нефилимов выступает туда и сталкивается с мощным имперским войском.",
Damage bonus against Heavy Units.,Бонус к урону против тяжёлых юнитов,
Anti-Armor Specialist,Специалист по пробитию брони,
The New Game+ feature requires a clear save. Beat the boss once to create a clear save!,Для режима Новая игра+ требуется чистое сохранение. Победите босса один раз, чтобы создать чистое сохранение.
Enemies will avoid targeting this Squad if possible,"????? ????? ???????? ????????? ?? ???? ?????, ???? ??? ????????",
