ENGLISH,KOREAN
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR -25% damage taken from ranged attacks","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 궁수\\PAR이동 유형: 일반\\PAR필요한 자원: 철 3개\\PAR전투 방식: 1타일 범위에 2회 활 공격, 혹은 2타일 거리에 1회 곡사 공격\\PAR특수: 공격은 방어구의 25%를 무시하며, 힘이 아니라 무기 능력치에 기반해 피해량이 결정됩니다. 원거리 공격으로 입는 피해가 -25%가 됩니다."
Class: War Cat,병과: 워캣
"Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls","부대장 가능 여부: 불가\\PAR티어: 2\\PAR유닛 유형: 괴수\\PAR이동 유형: 가벼움\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 넓게 휘두르는 베기 공격\\PAR특수: 공격은 같은 세로줄에 있는, 대상의 1타일 옆에 있는 유닛에게도 부수적인 피해를 입힙니다. 벽을 넘어서 공격 가능합니다."
Class: Behemoth,병과: 베헤모스
"Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls","부대장 가능 여부: 불가\\PAR티어: 3\\PAR유닛 유형: 괴수\\PAR이동 유형: 가벼움\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 넓게 휘두르는 베기 공격\\PAR특수: 공격은 같은 세로줄에 있는, 대상의 1타일 옆에 있는 유닛에게도 부수적인 피해를 입힙니다. 벽을 넘어서 공격 가능합니다."
Class: Necromancer,병과: 사령술사
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Mark of the Risen' Item\\PARBattle Actions: 1 Lifestealing dark magic attack\\PARSpecial: Presence increases accumulation of Unlife Essence, overhealing self via lifesteal can potentially heal allies","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: '부활한 자의 표식' 아이템 사용\\전투 방식: 1회의 생명력흡수 암흑마법 공격\\PAR특수: 유닛의 존재시 언데드 정수의 축적량이 증가하며, 자기 자신을 생명력흡수 마법으로 과다회복 시키면 아군을 회복시킬 가능성이 있습니다."
Class: Risen Spearman,병과: 부활한 창병
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 언데드\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 장창 공격\\PAR특수: 체력 회복 불가, 언데드 정수를 천천히 축적, 유닛당 최대 3 하수인까지 중첩 가능."
Class: Risen Soldier,병과: 부활한 정규보병
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 언데드\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: 체력 회복 불가, 언데드 정수를 천천히 축적, 유닛당 최대 3 하수인까지 중첩 가능."
Class: Risen Swordsman,병과: 부활한 검사
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 언데드\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: 체력 회복 불가, 언데드 정수를 천천히 축적, 유닛당 최대 3 하수인까지 중첩 가능."
Class: Risen Archer,병과: 부활한 궁수
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions:  2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 언데드\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 활 공격, 혹은 2타일 거리에 1회 곡사 공격\\PAR특수: 체력 회복 불가, 언데드 정수를 천천히 축적, 유닛당 최대 3 하수인까지 중첩 가능."
Class: Risen Warrior,병과: 부활한 전사
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 언데드\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: 체력 회복 불가, 언데드 정수를 천천히 축적, 유닛당 최대 3 하수인까지 중첩 가능."
Class: Risen Knight,병과: 부활한 기사
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 언데드\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: 체력 회복 불가, 언데드 정수를 천천히 축적."
Class: Risen Archmage,병과: 부활한 대마법사
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence","부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 언데드\\PAR이동 유형: 일반\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 1회 넓게 휩쓰는 화염 마법 공격\\PAR특수: 체력 회복 불가, 언데드 정수를 천천히 축적."
Class: Queen of Dragons,병과: 용들의 여왕
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range, full squad heal available as needed\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","부대장 가능 여부: 가능\\PAR티어: 4\\PAR유닛 유형: 용\\PAR이동 유형: 비행\\PAR필요한 자원: -\\PAR전투 방식: 1타일 범위에 2회 얼음 용 숨결 공격, 분대 전체 체력 회복 필요한만큼 가능\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다."
Class: Oracle,병과: 오라클
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 1 shield granted to entire squad\\PARSpecial:","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 지원\\PAR이동 유형: 느림\\PAR필요한 자원: 태양석 1개, 보석 1개\\PAR전투 방식: 분대 전체 방어막 1회 부여\\PAR특수: -."
Class: Field Cannon,병과: 야포
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Horse\\PARResources Required: 2 Iron, 2 Pyrocite, 2 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 화기\\PAR이동 유형: 기병\\PAR필요한 자원: 철 2개, 파이로사이트 2개, 말 2필\\PAR전투 방식: 공격 시, 1~3타일 거리에 1회 폭발성 대포 공격\\PAR특수: 공격 대상을 둘러싼 유닛들에 폭파 피해를 입힙니다. 공격은 방어구의 75%를 무시하며, 힘이 아니라 무기 능력치에 기반해 피해량이 결정됩니다. 이 유닛은 반격할 수 없습니다."
Class: Dark Mage,병과: 암흑법사
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Defiled Donari Tome' Item\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to supress healing on targets hit,부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: '더럽혀진 도나리교 경전' 아이템 사용\\PAR전투 방식: 1타일 범위에 1회 폭발성 어둠 마법 공격\\PAR특수: 공격 대상 주위 넓은 다이아몬드 모양의 영역에 폭발 피해를 입힙니다. 공격에 맞은 유닛의 체력 회복을 확률적으로 억제합니다.
Undead units and Unlife Essence,언데드 유닛과 언데드 정수
"Risen units are considered Undead.  Risen cannot be healed by conventional means, or revived at a temple. All Risen accumulate a resource called Unlife Essence, which is displayed visually in battle under the Morale bar. When the Unlife Essence bar is full, a new Risen unit will be summoned into your squad. Unlife Essence accumulates slowly by dealing damage, and quickly by killing enemies. Surrender does not accumulate any Unlife Essence. The presence of a Necromancer greatly increases the accumulation of Unlife Essence. At the beginning of player phase, Risen you start the mission with will automatically regenerate to one stack if killed. Necromancers will summon one Risen stack if there are fewer Risen than Necromancers at the start of Player Phase.","부활한 유닛들은 언데드로 간주됩니다. 언데드 유닛들은 일반적인 방법으로 체력을 회복하거나, 사원에서 부활할 수 없습니다. 모든 부활한 유닛은 언데드 정수라는 자원을 축적하며, 이는 전투 중 사기 측정바 아래에 표시됩니다. 언데드 정수 바가 가득 차면, 새로운 언데드 유닛이 당신의 분대에 소환됩니다. 언데드 정수 축적은 적에게 피해를 주어서 천천히 채우거나, 적을 처치하여 빠르게 채울 수 있습니다. 적이 항복하면 언데드 정수는 축적되지 않습니다. 네크로맨서의 존재는 언데드 정수의 축적을 큰 폭으로 증가시킵니다. 플레이어 단계의 시작에, 임무를 시작할 때 있었던 부활한 자들은 사망했더라도 자동으로 1 스택으로 회복됩니다. 또한, 플레이어 단계의 시작에 부활한 자들이 네크로맨서의 수보다 적을시, 네크로맨서들은 부활한 자들 1 스택을 소환합니다."
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Defiled Donari Tome' Item\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Lowers effectiveness of heals, Mage and Dragon attacks.","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: '더럽혀진 도나리교 경전' 아이템 사용\\PAR전투 방식: 1타일 범위에 1회 폭발성 어둠 마법 공격\\PAR특수: 공격 대상 주위 넓은 다이아몬드 모양의 영역에 폭발 피해를 입힙니다. 치유, 마법 그리고 용의 숨결 공격의 효과를 낮춥니다."
"Can be a Squad Leader: No\PARTier: 3\PARUnit Type: Beast\PARMovement Type: Light\PARResources Required: \PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls. Bypasses cover when attacking from a high ground advantage","부대장 가능 여부: 불가\PAR티어: 3\PAR유닛 유형: 괴수\PAR이동 유형: 가벼움\PAR필요한 자원: -\PAR전투 방식: 1타일 범위에 2회 넓게 휘두르는 베기 공격\PAR특수: 공격은 같은 세로줄에 있는, 대상의 1타일 옆에 있는 유닛에게도 부수적인 피해를 입힙니다. 벽을 넘어서 공격 가능합니다."
